                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2322,                 1.0705,                0.89543,                0.98983,                0.98553,                  0.995,                0.58114,                 1.4923,                 1.6484,                0.96365,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.2394,                 1.1247,                0.89019,                0.98456,                0.99066,                  0.995,                 0.5858,                 1.4502,                 1.5672,                 0.9658,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.2606,                  1.085,                0.89731,                 0.9861,                  0.992,                  0.995,                 0.5806,                 1.4324,                 1.5025,                0.96884,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.2282,                 1.0698,                0.88991,                0.97357,                0.97668,                0.99375,                0.52437,                 1.5524,                 1.4492,                 1.0031,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.1798,                 1.0249,                0.89218,                 0.9625,                0.98298,                0.99375,                0.47988,                 1.6784,                 1.3582,                 1.0447,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.2386,                 1.0137,                0.90433,                0.93126,                0.97244,                   0.99,                0.51619,                 1.5943,                 1.2442,                 1.0166,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.2186,                0.99081,                0.89573,                0.95166,                0.97797,                 0.9925,                0.57148,                 1.4497,                 1.1369,                0.97791,               0.000604,               0.000604,               0.000604
                     42,                 1.2785,                0.97904,                0.92075,                0.95197,                0.99344,                0.99375,                0.57987,                 1.4301,                 1.0607,                0.97065,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.1534,                 0.9506,                0.90577,                 0.9572,                      1,                  0.995,                0.54347,                 1.5787,                 1.0284,                 1.0199,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.1887,                0.91713,                0.89043,                0.96491,                      1,                  0.995,                0.51897,                 1.6645,                 1.0288,                 1.0451,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.2543,                0.91229,                 0.8994,                0.97581,                0.99873,                  0.995,                0.55315,                 1.5692,                 1.0026,                 1.0083,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.1559,                0.89718,                0.88926,                0.97748,                 0.9943,                  0.995,                0.59364,                 1.4418,                0.96802,                0.97562,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.1918,                0.89445,                0.89883,                0.97904,                0.99342,                  0.995,                0.58899,                 1.4146,                0.93601,                0.97774,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.1999,                0.91108,                0.88326,                0.98152,                0.99503,                  0.995,                0.58292,                 1.5097,                0.93843,                 1.0173,              0.0005347,              0.0005347,              0.0005347
                     49,                  1.181,                0.90594,                0.88836,                 0.9832,                0.99245,                  0.995,                0.54108,                 1.6227,                0.95009,                 1.0426,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.1783,                0.88133,                 0.8968,                0.97596,                0.99458,                  0.995,                0.53532,                 1.6296,                0.92966,                 1.0253,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.1652,                0.87595,                0.90257,                0.97342,                0.99517,                  0.995,                0.56496,                  1.567,                0.91079,                 1.0042,               0.000505,               0.000505,               0.000505
                     52,                 1.1574,                0.85092,                0.89126,                0.98273,                0.98997,                  0.995,                0.58082,                 1.4871,                0.87881,                0.98905,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.1856,                0.86942,                0.89305,                0.97887,                0.99507,                  0.995,                0.57047,                 1.4883,                0.88801,                0.99424,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.1348,                0.83219,                0.88403,                0.97924,                      1,                  0.995,                0.56562,                  1.503,                0.88435,                0.99107,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.1462,                0.85783,                0.87214,                 0.9801,                      1,                  0.995,                0.57107,                  1.495,                0.88076,                0.99063,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.1953,                0.85333,                 0.9008,                0.97988,                      1,                  0.995,                0.56808,                 1.4993,                0.85824,                 1.0054,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.1811,                0.83176,                0.89886,                0.98399,                0.99986,                  0.995,                0.57931,                 1.4752,                0.84267,                0.99809,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.1173,                0.88637,                0.87106,                0.98553,                      1,                  0.995,                0.58195,                 1.4971,                0.83508,                0.99943,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.1231,                0.78904,                0.87729,                0.98986,                      1,                  0.995,                0.59333,                 1.4906,                0.82636,                0.98872,              0.0004258,              0.0004258,              0.0004258
                     60,                  1.153,                0.83605,                0.90877,                0.99324,                      1,                  0.995,                0.58774,                 1.4873,                0.84095,                0.99385,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.1406,                0.80555,                0.87344,                0.99329,                      1,                  0.995,                0.58041,                 1.4875,                0.84063,                 1.0071,               0.000406,               0.000406,               0.000406
                     62,                  1.116,                0.83162,                0.87821,                 0.9936,                      1,                  0.995,                0.58082,                 1.5194,                0.84741,                 1.0148,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.1319,                0.77548,                 0.8984,                0.99179,                      1,                  0.995,                0.58909,                 1.4886,                0.83438,                 1.0071,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.1286,                0.78551,                0.87996,                0.98892,                0.99973,                  0.995,                0.60005,                 1.4283,                0.81537,                0.98667,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.1369,                0.78123,                0.89178,                0.98904,                      1,                  0.995,                0.60149,                  1.411,                0.81038,                 0.9799,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.1256,                0.77792,                0.88124,                0.98818,                      1,                  0.995,                0.59174,                 1.4507,                0.81337,                0.99646,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.1268,                0.79128,                0.87093,                0.98867,                      1,                  0.995,                0.58126,                 1.4855,                0.81698,                  1.011,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.1868,                0.79156,                0.90098,                0.98871,                      1,                  0.995,                0.58427,                  1.462,                0.81074,                  1.001,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.1168,                0.75944,                  0.872,                0.98917,                      1,                  0.995,                0.60645,                 1.4204,                 0.8007,                0.97581,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.1031,                  0.737,                0.88671,                0.98839,                      1,                  0.995,                0.60253,                 1.4033,                0.79817,                0.96611,              0.0003169,              0.0003169,              0.0003169
                     71,                   1.17,                0.78182,                0.88298,                0.98816,                      1,                  0.995,                0.60561,                 1.4104,                0.79041,                0.97171,               0.000307,               0.000307,               0.000307
                     72,                 1.1218,                0.76511,                0.88691,                0.98659,                      1,                  0.995,                 0.5926,                 1.4419,                0.78627,                 0.9924,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.1073,                0.73804,                 0.8947,                0.98683,                      1,                  0.995,                0.60271,                 1.4065,                0.77815,                0.98644,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.1401,                 0.7382,                0.88381,                0.98858,                      1,                  0.995,                0.61126,                 1.3683,                0.77463,                0.97405,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.1208,                0.74361,                 0.8973,                0.99042,                      1,                  0.995,                0.60626,                 1.3707,                 0.7671,                0.96955,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.1212,                0.73057,                0.89249,                0.99091,                      1,                  0.995,                0.59673,                 1.4135,                0.77393,                0.97618,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.1137,                0.74482,                0.87149,                0.99118,                      1,                  0.995,                0.58882,                 1.4355,                0.77894,                0.98339,              0.0002476,              0.0002476,              0.0002476
